(-51.4844, -92.322, -47.2707)
(-40.247, -70.1689, -34.9337)
(-76.2442, -123.437, -51.6486)
(-59.3847, -98.8151, -42.6301)
(-55.8831, -97.7038, -35.0074)
(-87.8914, -146.958, -56.1101)
(-69.0814, -119.562, -34.9569)
(-58.3246, -97.6713, -33.3877)
(-80.4566, -140.052, -43.4226)
(-98.5792, -166.663, -46.9705)
(-37.858, -68.822, -16.6088)
(-115.592, -189.683, -49.0048)
(-86.1393, -145.333, -32.0827)
(-69.8957, -118.276, -17.3731)
(-68.9708, -122.13, -26.8516)
(-28.1975, -48.6721, -4.22636)
(-81.5073, -142.65, -20.9843)
(-53.5662, -92.4635, -8.02861)
(-27.4522, -46.1067, -2.10066)
(-29.4035, -45.7941, -24.6332)
(-29.4993, -46.1978, -24.6362)
(-104.852, -166.774, -68.2525)
(-101.563, -165.535, -74.9545)
(-103.404, -159.94, -44.3038)
(-77.5754, -117.608, -50.7976)
(-15.6633, -23.9888, -7.79341)
(-88.8072, -137.34, -65.7819)
(-41.388, -67.1247, -23.5161)
(-77.6154, -115.839, -19.3456)
(-95.3437, -164.527, -42.7835)
(-33.1543, -45.2328, -6.78519)
(-104.988, -163.378, -24.8118)
(-60.9591, -93.8713, -16.3467)
(-93.5506, -141.053, -14.9278)
(-116.309, -186.764, -27.7737)
(-93.3537, -138.42, -10.0107)
(-91.4107, -137.854, -8.61773)
(-14.1558, -21.8622, 1.58827)
(-38.7231, -64.2876, -33.3664)
(-102.857, -156.737, -75.7516)
(-84.5594, -134.938, -65.6185)
(-129.422, -193.819, -89.3509)
(-130.331, -198.486, -90.5503)
(-45.1271, -67.7635, -22.4146)
(-42.6754, -66.7468, -28.7292)
(-65.4181, -89.155, -27.6138)
(-59.4535, -87.2306, -30.8622)
(-111.73, -158.901, -41.5806)
(-90.3777, -141.047, -36.1803)
(-83.4657, -113.363, -31.2466)
(-41.4718, -66.938, -14.1067)
(-60.5983, -88.8073, -21.9618)
(-89.6864, -131.291, -7.52493)
(-43.9465, -66.7009, -10.458)
(-75.2686, -112.318, -3.40491)
(-55.3019, -87.2637, -9.80661)
(-13.9489, -22.1276, 0.0245198)
(-12.7402, -20.0368, -13.1019)
(-39.3955, -64.4672, -31.0321)
(-15.0932, -21.2478, -13.2862)
(-33.4883, -44.8966, -24.0902)
(-51.5662, -67.6287, -30.5158)
(-35.0771, -45.4252, -18.3874)
(-32.2858, -43.6631, -18.5936)
(-35.0218, -44.973, -15.7762)
(-46.2841, -65.2324, -17.1937)
(-69.0721, -89.1917, -26.5366)
(-117.203, -167.163, -15.2516)
(-54.3201, -68.7292, -15.4909)
(-68.5921, -91.2782, -20.913)
(-54.7242, -67.4238, -14.2761)
(-65.8576, -92.9837, -6.98306)
(-49.9692, -70.773, -6.97456)
(-17.9767, -22.963, -2.41537)
(-75.2144, -111.065, -6.27636)
(-16.6336, -22.4974, -0.812548)
(-97.936, -148.31, -73.0603)
(-114.745, -171.228, -87.0462)
(-51.4541, -66.9212, -33.458)
(-18.1759, -21.3258, -10.562)
(-53.9726, -62.8066, -26.5079)
(-51.7584, -64.2138, -26.3957)
(-94.3089, -121.339, -59.8911)
(-70.8482, -81.6904, -33.7917)
(-46.6875, -61.199, -24.7421)
(-34.9511, -40.6275, -14.356)
(-100.408, -144.021, -18.6328)
(-20.0819, -19.8421, -5.3558)
(-18.3937, -19.9823, -4.32308)
(-49.3182, -60.6786, -17.6405)
(-34.1355, -42.362, -5.98184)
(-33.3971, -42.4991, -5.84489)
(-18.7051, -20.8978, -1.99334)
(-17.3126, -21.2067, -0.696651)
(-18.2852, -21.2325, 0.329604)
(-27.4631, -42.2042, -24.3666)
(-135.949, -190.699, -90.7421)
(-18.9861, -18.2616, -10.6283)
(-115.607, -165.586, -81.1148)
(-85.7478, -124.434, -41.2952)
(-107.122, -146.876, -67.634)
(-44.9256, -63.33, -24.8092)
(-79.9006, -120.58, -61.587)
(-41.9034, -62.6273, -21.6972)
(-90.7822, -124.509, -24.699)
(-57.6117, -83.8677, -18.0227)
(-65.7492, -79.1439, -27.6929)
(-74.6019, -104.803, -22.7907)
(-98.8763, -145.277, -10.9014)
(-92.908, -143.733, -39.7022)
(-101.556, -147.211, -18.3352)
(-133.403, -196.444, -61.0119)
(-56.9456, -83.9419, -3.10938)
(-99.4939, -147.192, -15.7845)
(-77.938, -120.405, -65.1007)
(-30.7647, -40.4411, -24.8121)
(-50.1935, -59.1718, -28.8279)
(-88.8676, -120.512, -60.8366)
(-44.0583, -60.0099, -34.2913)
(-62.4169, -78.7088, -30.5322)
(-16.6555, -20.5451, -11.1937)
(-117.919, -161.764, -40.1574)
(-76.1663, -101.653, -30.8649)
(-33.1457, -41.8237, -9.40757)
(-82.8744, -127.398, -35.9124)
(-35.3543, -38.4305, -16.6004)
(-78.5647, -101.552, -19.4731)
(-128.27, -182.903, -53.4174)
(-31.1236, -40.0073, -2.27053)
(-28.9185, -39.9431, -6.79876)
(-55.7121, -78.3091, -3.03423)
(-99.3861, -145.128, -14.7784)
(-13.3697, -19.4995, 1.34344)
(-53.1885, -76.4951, -40.1646)
(-76.2599, -99.7214, -53.2563)
(-16.3311, -19.028, -13.2018)
(-32.458, -37.5879, -20.3355)
(-13.3357, -18.7918, -12.4575)
(-55.9795, -76.0988, -27.896)
(-77.1461, -114.942, -60.7751)
(-91.112, -134.799, -38.9631)
(-75.803, -116.738, -42.7212)
(-106.41, -155.618, -43.2499)
(-106.232, -156.855, -47.3024)
(-96.6037, -133.408, -42.4351)
(-26.38, -38.6258, -8.26484)
(-102.686, -151.198, -45.0848)
(-51.1513, -75.7496, -5.40136)
(-52.3568, -75.3728, -17.5211)
(-52.6093, -75.6895, -2.02937)
(-74.795, -95.1289, -4.17244)
(-28.101, -35.7693, 4.75951)
(-125.861, -139.355, -85.494)
(-16.5243, -16.6717, -11.7117)
(-48.1185, -54.6058, -26.4899)
(-28.187, -37.2659, -22.6953)
(-93.5194, -109.707, -39.3136)
(-27.9459, -31.2339, -26.8985)
(-19.3335, -9.57772, -6.38483)
(-57.4774, -64.427, -47.7828)
(-56.8952, -81.9581, -27.9109)
(-47.0419, -57.2682, -24.4966)
(-60.855, -69.2336, -21.09)
(-45.965, -55.8556, -11.5739)
(-78.2582, -98.9197, -23.3028)
(-43.2868, -49.6013, -0.115974)
(-105.681, -125.034, -29.334)
